id,name,address,category,type,validity,area,rating,
,ABA CRYSTAL HOLIDAYS SDN. BHD.,"PT9208HS(M) TINGKAT 1, TAMAN JOHAN, JALAN SANTONG, 23100 PAKA DUNGUN, Terengganu","Inbound, Outbound, Ticketing",Ibu Pejabat,02/12/19 - 21/12/26,Dungun,no review yet,
,AG HOLIDAY SDN BHD,"LOT 4068, KG BUKIT CHALOK, PENARIK, 22120 SETIU, TERENGGANU DARUL IMAN, Terengganu",Inbound,Ibu Pejabat,02/04/23 - 02/04/27,Setiu,3.7,
,AGENSI PELANCONGAN D & ADIK BERADIK SDN. BHD.,"NO. F2, BANGUNAN MBKT PASAR MANIR, 21200 KUALA TERENGGANU, TERENGGANU, Terengganu","Inbound, Outbound, Ticketing",Ibu Pejabat,31/12/15 - 01/01/26,Kuala Terengganu,2.3,
,AGENSI PENGEMBARAAN BAYU WANGI SDN. BHD.,"NO.10 TINGKAT 1, PASAR BESAR DUNGUN, 23000 DUNGUN, TERENGGANU, Terengganu","Inbound, Outbound, Ticketing",Ibu Pejabat,09/07/16 - 09/07/25,Dungun,no review yet,
,AIN HOLIDAYS GROUP TRAVEL & TOURS SDN BHD,"A1 BANGUNAN SAMUDERA HOTEL KUALA BESUT,22300 KUALA BESUT TERENGGANU, Terengganu",Inbound,Ibu Pejabat,18/03/19 - 19/04/26,Besut,3.2,
,AINA HOLIDAYS SDN. BHD,"118 KG. TENGAH KUALA BESUT 22300 BESUT TERENGGANU DARUL IMAN, Terengganu",Inbound,Ibu Pejabat,03/12/16 - 17/04/26,Besut,3.4,
,AL FAJR TRAVEL & TOURS SDN BHD,"483, Jalan Sultan Mohamad, Gong Kapas, 21100 Kuala Terengganu, Terengganu","Inbound, Outbound, Ticket, Umrah atau Ziarah",Cawangan,14/01/15 - 11/02/27,Kuala Terengganu,5,
,AL FATEH WORLDWIDE TRAVEL & TOURS SDN. BHD.,"No. 18114, Tingkat Atas Taman Sejati, Jalan Wakaf Tembersu Gong Badak, 21300 Kuala Terengganu, Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Cawangan,07/08/24 - 07/08/27,Kuala Terengganu,5,
,AL HAZZ TRAVELS & TOURS SDN. B HD.,"LOT 51357, TINGKAT DUA, BANGUNAN KEDAI RAYHAR, JALAN JAKAR, 24000 KEMAMAN, Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Ibu Pejabat,01/10/17 - 19/10/25,Kemaman,no review yet,
,AL RAWDA TRAVEL & TOURS SDN BHD,"LOT 3998-1, TINGKAT 1, BANGUNAN MAJLIS PERBANDARAN DUNGUN, 23000 DUNGUN, TERENGGANU DARUL IMAN, Terengganu","Inbound, Outbound, Ticketing",Ibu Pejabat,27/03/23 - 27/03/26,Dungun,no review yet,
,ALAM TRAVEL & TOURS SDN. BHD.,"GLL 11, Ground Floor, Lapangan Terbang Sultan Mahmud,21300 Kuala Terengganu, Terengganu","Inbound, Outbound, Ticketing",Ibu Pejabat,02/03/16 - 02/03/25,Kuala Terengganu,4.8,
,AMAN GLOBAL TRAVEL & TOURS SDN BHD,"LOT G9.1, KOMPLEKS USAHAWAN TERENGGANU, LOT 3449 KG KUBANG JELA MUKIM MANIR, 21200 KUALA TERENGGANU, TERENGGANU., Terengganu","Inbound, Outbound, Ticketing",Ibu Pejabat,15/07/24 - 14/07/25,Kuala Terengganu,4.7,
,AMT HOLIDAYS SDN BHD,"NO.43, TAMAN JERTEH, 22000 JERTEH, Terengganu",Inbound,Ibu Pejabat,08/12/20 - 12/12/24,Jertih,no review yet,
,ANDALUSIA TRAVEL & TOURS SDN. BHD.,"LOT 3313, JALAN BESAR, PADANG LUAS, MUKIM PELAGAT, JERTEH, 22000 BESUT, Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Cawangan,25/09/24 - 31/12/24,Besut,5,
,ANDALUSIA TRAVEL & TOURS SDN. BHD.,"No.15-1 & 2, Pusat Niaga Paya Keladi, 20100 Kuala Terengganu, Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Cawangan,04/01/22 - 31/12/24,Kuala Terengganu,4.3,
,ANJUNG HOLIDAYS SDN. BHD.,"SIA Terminal Pelancongan Kuala Besut, 22300 Kuala Besut, Terengganu",Inbound,Ibu Pejabat,08/01/18 - 18/04/26,Besut,4.3,
,AQUA TRAVEL & TOURS SDN. BHD.,"LOT PT 37789, FIRST FLOOR BLOCK D, TAMAN DESA JAYA , JALAN GONG PAK DAMAT, 21300 KUALA TERENGGANU, Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Ibu Pejabat,10/08/22 - 10/08/26,Kuala Terengganu,5,
,ARUNI TRAVEL & TOURS SDN. BHD.,"PT 11048C, Kg Padang Air Deras, Bukit Payong 21400 Marang, Terengganu","Inbound, Outbound",Ibu Pejabat,31/01/17 - 07/12/25,Marang,no review yet,
,ASIALAND NATURALLY SDN BHD,"NO.112 KAMPUNG TENGKAWANG, 21700 KUALA BERANG, TERENGGANU., Terengganu","Inbound, Outbound, Ticketing",Ibu Pejabat,15/07/24 - 14/07/25,Hulu Terengganu,no review yet,
,AZ ZUHA GROUP TRAVEL & TOURS SDN. BHD.,"No.1085-C, Jalan Sultan Sulaiman, 20000 Kuala Terengganu,, Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Cawangan,00/00/00 - 07/12/26,Kuala Terengganu,4.4,
,BAHRULMAZI TRAVEL & TOURS SDN BHD,"Lot 2.01, Tingkat 2, Bangunan Tabung Haji , Wisma Serangkai , Jalan Sulaimani , 24000 Chukai , Kemaman, Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Cawangan,00/00/00 - 21/01/25,Kemaman,4.6,
,BERKAT TUAH EMPIRE SDN BHD,"PT 4080 (TINGKAT DUA) BLOK H, PERKEDAIAN LADANG TOK PELAM, JALAN SULTAN ZAINAL ABIDIN, 20000 KUALA TERENGGANU, TERENGGANU, Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Ibu Pejabat,16/05/24 - 16/05/25,Kuala Terengganu,no review yet,
,BESTAY TRAVEL & TOURS SDN BHD,"NO134-G, JALAN SULTAN ZAINAL ABIDIN,20000 KUALA TERENGGANU, Terengganu",Inbound,Ibu Pejabat,31/12/15 - 31/12/25,Kuala Terengganu,no review yet,
,BIG SCOPE EVENT & TRAVEL SDN. BHD.,"LATA KOLAM AIR DERU ECOPARK, JALAN AIR PANAS LA, 42, KAMPUNG LA, 22010 JERTEH, Terengganu",Inbound,Ibu Pejabat,24/02/20 - 30/06/27,Besut,no review yet,
,BK TRAVEL SDN. BHD.,"LOT PT 40352 (2) BLOCK D, PERKEDAIAN LADANG TOK PELAM, JALAN SULTAN ZAINAL ABIDIN, 20000 KUALA TERENGGANU, Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Cawangan,29/05/23 - 20/05/26,Kuala Terengganu,no review yet,
,BUSYRA HOLIDAYS SDN BHD,"PT 4008 (TINGKAT 2) BLOCK B, PERKEDAIAN LADANG TOK PELAM, JALAN SULTAN ZAINAL ABIDIN, 20000 KUALA TERENGGANU, Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Cawangan,14/02/24 - 28/08/26,Kuala Terengganu,4.8,
,CITY CONNECTIONS TRAVEL SDN BHD,"66/9 Ground Floor, Taman Sri Intan, Jalan Sultan Omar, 20300, Kuala Terengganu, Terengganu","Inbound, Outbound, Ticketing",Cawangan,31/03/23 - 01/04/26,Kuala Terengganu,no review yet,
,COAST TO COAST HOLIDAY SDN. BHD.(ECO DIVING (M) SDN.BHD),"NO.9, JALAN DATO' ISSACS, 20100 KUALA TERENGGANU, TERENGGANU., Terengganu",Inbound,Ibu Pejabat,31/12/14 - 27/02/25,Kuala Terengganu,4,
